timestamp,cycles,unroll,load_interleave,schedule,hash_interleave,block_group,speedup
2026-01-22T23:45:16,2847,6,2,stagewise,"(2, 2, 3)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(2, 3, 0)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(2, 3, 1)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(2, 3, 2)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(2, 3, 3)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 0, 0)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 0, 1)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 0, 2)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 0, 3)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 1, 0)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 1, 1)",6,51.89
2026-01-22T23:45:16,2847,6,2,stagewise,"(3, 1, 2)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 1, 3)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 2, 0)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 2, 1)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 2, 2)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 2, 3)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 3, 0)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 3, 1)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 3, 2)",6,51.89
2026-01-22T23:45:17,2847,6,2,stagewise,"(3, 3, 3)",6,51.89
